note,duration,octave,part,measure,chord,lyrics,track,pitch,tags
e_,1,4,D,74,,be,Melody,,
e_,1,4,D,74,,ga,Melody,,
f,2,4,D,74,,moo,Melody,,
e_,4,4,D,75,Cm,nam,Melody,,
e_,1,4,D,75,,ri,Melody,,
f,1,4,D,75,,ye,Melody,,
d,2,4,D,75,,haa,Melody,,
e_,4,4,D,76,Cm,moon,Melody,,
a,1,4,D,76,,moond,Melody,,
a,1,4,D,76,,ye,Melody,,
b_,2,4,D,76,,jaa,Melody,,
a,3,4,D,77,F,yi,Melody,,
b_,2,4,D,77,,kon,Melody,,
a,1,4,D,77,,je,Melody,,
g,2,4,D,77,,khoo,Melody,,
a,8,4,D,78,F,ne,Melody,,
r,4,4,E,79,,,Melody,NA,
r,1,4,E,79,,,Melody,NA,
d,1,4,E,79,,cha,Melody,D4,
g,1,4,E,79,,ma,Melody,G4,
a,1,4,E,79,,doo,Melody,A4,
b_,4,4,E,80,Gm,naa,Melody,B-4,
a,1,4,E,80,,moo,Melody,A4,
g,2,4,E,80,,no,Melody,G4,
f,1,4,E,80,,bas,Melody,F4,
e_,4,4,E,81,Cm,tim,Melody,E-4,
r,1,4,E,81,,,Melody,NA,
e_,1,4,E,81,,mes,Melody,E-4,
f,1,4,E,81,,le,Melody,A4,
g,1,4,E,81,,chesh,Melody,G4,
a,1,4,E,82,F,ma,Melody,A4,
a,4,4,E,82,,moon,Melody,A4,
g,1,4,E,82,,ro,Melody,G4,
f,2,4,E,82,,khoo,Melody,F4,
g,4,4,E,83,Gm,ne,Melody,A4,
r,1,4,E,83,,,Melody,NA,
d,1,4,E,83,,na,Melody,D4,
g,1,4,E,83,,doo,Melody,G4,
a,1,4,E,83,,nes,Melody,A4,
b_,4,4,E,84,Gm,tim,Melody,B-4,
a,1,4,E,84,,da,Melody,A4,
g,1,4,E,84,,me,Melody,G4,
f,2,4,E,84,,aa,Melody,F4,
e_,4,4,E,85,Cm,khar,Melody,E-4,
r,1,4,E,85,,,Melody,NA,
e_,1,4,E,85,,khei,Melody,E-4,
f,1,4,E,85,,li,Melody,F4,
g,1,4,E,85,,chi,Melody,G4,
a,4,4,E,86,F,zaa,Melody,A4,
a,1,4,E,86,,ja,Melody,A4,
b_,1,4,E,86,,mi,Melody,B-4,
a,2,4,E,86,,moo,Melody,A4,
g,4,4,E,87,Gm,ne,Melody,G4,
d,1,4,E,87,,zi,Melody,D4,
g,1,4,E,87,,re,Melody,G4,
a,2,4,E,87,,in,Melody,A4,
b_,2,4,E,88,Eb,sagh,Melody,B-4,
b_,3,4,E,88,,faa,Melody,B-4,
a,1,4,E,88,,ye,Melody,A4,
g,2,4,E,88,,moh,Melody,G4,
a,4,4,E,89,F,kam,Melody,A4,
c,1,4,E,89,,roo,Melody,C3,
f,1,4,E,89,,ye,Melody,F4,
g,2,4,E,89,,di,Melody,G4,
a,1,4,E,90,F,vaa,Melody,A4,
a,3,4,E,90,,raa,Melody,A4,
f,1,4,E,90,,ye,Melody,F4,
e_,3,4,E,90,,kaa,Melody,E-4,
d,4,4,E,91,Gm,hi,Melody,D4,
d,1,4,E,91,,mes,Melody,NA,
g,1,4,E,91,,le,Melody,D4,
a,2,4,E,91,,oon,Melody,G4,
b_,2,4,E,92,Eb,sagh,Melody,A4,
b_,3,4,E,92,,fe,Melody,A4,
c,1,5,E,92,,gha,Melody,B-4,
b_,2,4,E,92,,di,Melody,B-4,
a,4,4,E,93,F,mi,Melody,C5,
f,1,4,E,93,,ash,Melody,B-4,
g,1,4,E,93,,kaa,Melody,A4,
a,2,4,E,93,,moon,Melody,F4,
a,1,4,E,94,F,mi,Melody,F4,
c,3,5,E,94,,ri,Melody,G4,
b_,1,4,E,94,,ze,Melody,A4,
a,3,4,E,94,,gaa,Melody,C5,
g,4,4,E,95,Gm,hi,Melody,B-4,
r,1,,E,95,,,Melody,,
d,1,5,E,95,,ta,Melody,,
d,1,5,E,95,,ke,Melody,,
d,1,5,E,95,,baa,Melody,,
d,1,5,E,96,Gm,ghi,Melody,,
b_,3,4,E,96,,ye,Melody,,
a,1,4,E,96,,go,Melody,,
g,3,4,E,96,,laa,Melody,,
e_,4,5,E,97,F,moon,Melody,,
r,1,,E,97,,,Melody,,
a,1,4,E,97,,too,Melody,,
b_,1,4,E,97,,ye,Melody,,
c,1,5,E,97,,khoo,Melody,,
c,4,5,E,98,D7,ne,Melody,,
c,1,5,E,98,,na,Melody,,
f,1,5,E,98,,pa,Melody,,
e_,2,5,E,98,,laa,Melody,,
d,4,5,E,99,Gm,se,Melody,,
d,1,5,E,99,,bi,Melody,,
d,1,5,E,99,,yaa,Melody,,
d,2,5,E,99,,ash,Melody,,
d,1,5,E,100,Gm,kaa,Melody,,
g,3,5,E,100,,moo,Melody,,
g,1,5,E,100,,no,Melody,,
f,3,5,E,100,,baa,Melody,,
e_,4,5,E,101,Cm,ham,Melody,,
a,1,4,E,101,,jam,Melody,,
b_,1,4,E,101,,ko,Melody,,
c,2,5,E,101,,nim,Melody,,
c,1,5,E,102,D7,too,Melody,,
d,3,5,E,102,,ye,Melody,,
b_,1,4,E,102,,ye,Melody,,
a,3,4,E,102,,kaa,Melody,,
g,4,4,E,103,Gm,se,Melody,,
d,1,5,E,103,,a,Melody,,
d,1,5,E,103,,ge,Melody,,
d,2,5,E,103,,yek,Melody,,
d,2,5,E,104,Gm,roo,Melody,,
d,3,5,E,104,,zi,Melody,,
g,1,5,E,104,,do,Melody,,
f,2,5,E,104,,baa,Melody,,
e_,4,5,E,105,Cm,re,Melody,,
e_,1,5,E,105,,da,Melody,,
f,1,5,E,105,,ro,Melody,,
g,2,5,E,105,,vaa,Melody,,
a,1,5,E,106,F,ko,Melody,,
a,4,5,E,106,,nan,Melody,,
g,1,5,E,106,,be,Melody,,
f,2,5,E,106,,roo,Melody,,
g,4,5,E,107,Gm,moon,Melody,,
d,1,5,E,107,,mi,Melody,,
d,1,5,E,107,,rim,Melody,,
d,2,5,E,107,,in,Melody,,
r,2,,E,108,Gm,,Melody,,
d,2,5,E,108,,kaa,Melody,,
g,1,5,E,108,,se,Melody,,
g,1,5,E,108,,ye,Melody,,
f,2,5,E,108,,ash,Melody,,
e_,4,5,E,109,Cm,ko,Melody,,
c,1,6,E,109,,mi,Melody,,
b_,1,5,E,109,,ri,Melody,,
a,2,5,E,109,,zim,Melody,,
r,2,,E,110,F,,Melody,,
a,1,5,E,110,,paa,Melody,,
c,2,6,E,110,,ye,Melody,,
b_,1,5,E,110,,go,Melody,,
a,2,5,E,110,,laa,Melody,,
g,8,5,E,111,Gm,moon,Melody,,
g,1,4,E,112,,,Melody,,
r,7,,E,112,,,Melody,,
